Name,Code
ip-header-bad,0
required-option-missing,1
redirect-for-host,1
redirect-for-network,0
redirect-for-tos-and-host,3
redirect-for-tos-and-net,2
ttl-eq-zero-during-reassembly,1
ttl-eq-zero-during-transit,0
communication-prohibited-by-filtering,13
destination-host-prohibited,10
destination-host-unknown,7
destination-network-prohibited,9
destination-network-unknown,6
fragmentation-needed,4
host-precedence-violation,14
host-unreachable,1
host-unreachable-for-TOS,12
network-unreachable,0
network-unreachable-for-TOS,11
port-unreachable,3
precedence-cutoff-in-effect,15
protocol-unreachable,2
source-host-isolated,8
source-route-failed,5
